------------------------------------------------------------
Server listening on UDP port 8080
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[ *1] local 10.0.100.12%eth0 port 8080 connected with 10.0.100.2 port 58602 (reverse) (no-udp-fin) (trip-times) (sock=3) (peer 2.1.1-dev) on 2021-05-25 20:02:33 (UTC)
[ ID] Interval        Transfer     Bandwidth      Write/Err  PPS
[ *1] 93.00-94.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 94.00-95.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 95.00-96.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 96.00-97.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 97.00-98.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 98.00-99.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 99.00-100.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 100.00-101.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 101.00-102.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 102.00-103.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 103.00-104.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 104.00-105.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 105.00-106.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 106.00-107.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 107.00-108.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 108.00-109.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 109.00-110.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 110.00-111.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 111.00-112.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 112.00-113.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 113.00-114.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 114.00-115.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 115.00-116.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 116.00-117.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 117.00-118.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
